date,stage,home,away,reference_side,p_model_currelo,p_market,p_ensemble,advanced_reference,brier_model,brier_market,brier_ensemble,basis,notes,pre_match_evidence
2026-07-04,R16,Canada,Morocco,A,0.642,0.688,0.591,1,0.128,0.097,0.167,mixed_legacy,"model prob = current-Elo counterfactual (stored-Elo live call was CAN 50.5%); p_ensemble came from the stale-Elo live call; market = de-margined advance; sources: 7/5 report sec 三"
2026-07-04,R16,Paraguay,France,A,0.827,0.889,0.858,1,0.030,0.012,0.020,current_elo_counterfactual,"current-Elo rerun 7/4 PM (live report used stored-Elo 85.6%); brier_model on 0.827"
2026-07-05,R16,Brazil,Norway,H,0.599,0.665,0.632,0,0.359,0.442,0.399,live_current_elo,"model B (current Elo, heat+rain, Ryerson reinstated); market avg FanDuel/-118 book; FIRST regulation upset of tournament — model beat market on Brier for the first time"
2026-07-05,R16,Mexico,England,A,0.514,0.519,0.517,1,0.236,0.231,0.233,live_current_elo,"live current-Elo call (Azteca +90, dEff -13); market bet365/book2/Kalshi advance avg; model=market within 0.5pt pre-match; ENG won 3-2 in 90 despite 54-min red"
2026-07-06,R16,Portugal,Spain,A,0.672,0.660,0.666,1,0.108,0.116,0.112,live_current_elo,"live current-Elo call; market FanDuel/bet365 advance de-margin; model=market within 1.2pt; Merino 90+1 — Spain in 90'"
2026-07-06,R16,USA,Belgium,A,0.529,0.484,0.507,1,0.222,0.266,0.243,live_current_elo,"live current-Elo call (Lumen +85); market BetMGM advance; 4.5pt disagreement — MODEL side right, market (fan-money USA lean) wrong; BEL 4-1 rout; pens-alert 32.9 did not fire"
2026-07-07,R16,Argentina,Egypt,H,0.904,0.843,0.873,1,0.009,0.025,0.016,live_current_elo,"lambda-floor natural experiment: official floor-0.15 adv 90.4 (shadow floor-0.30 88.1 Brier 0.014); ARG 3-2 comeback from 0-2 — adv channel favours 0.15 but Egypt's 2 real goals crush the pinned goals channels (P(Egy>=2) 1.1% vs 3.8%); floor 0.30 ADOPTED at n=24 review"
2026-07-07,R16,Switzerland,Colombia,A,0.568,0.582,0.575,0,0.323,0.339,0.331,live_current_elo,"0-0 + pens 4-3 SUI — 6th KO upset; ALL sides wrong, model least wrong; pens-alert (32.4) FIRED and HIT (tally 8->3); pen tilt COL 51.7 coin-flip miss; market adv was derived (no 2-way line found 7/7, assumption stated)"
2026-07-09,QF,France,Morocco,H,0.769,0.767,0.768,1,0.053,0.054,0.054,live_current_elo,"match-day final: rain x0.95 (87F sunny->80F T-storms flip), Saibari official out MOR x0.92 (first adjust-side fire of only-official rule); model 76.9 vs mkt 76.7 (0.2pt gap); FRA 2-0 = pre-reg top scoreline 14.4%; ensemble w=0.6"
2026-07-10,QF,Spain,Belgium,H,0.769,0.756,0.764,1,0.053,0.060,0.056,live_current_elo,"match-day final: Onana ACL official out -> SPA lambda x1.05, KDB returned; 90-min 66.5/24.8/8.7; SPA 2-1 in 90 (Merino 88); model-mkt gap 1.3pt aligned; low-block divergence case (BEL 8.7 vs mkt 17.0) resolved model-side RIGHT — trigger NOT fired; ensemble w=0.6"
2026-07-11,QF,Norway,England,A,0.620,0.639,0.628,1,0.144,0.130,0.138,live_current_elo,"07:00 preview run values (18:05 finalization NEVER RAN — no artifact); Elo Nor 1972/Eng 2076 official-verified 7/7; baseline档 graded (heat moderate档 61.5 noted, no <=6h kickoff evidence); 90' 1-1 -> ENG 2-1 AET; pens-prep 31.3 half-hit (draw yes, ET not pens)"
2026-07-11,QF,Argentina,Switzerland,H,0.748,0.728,0.740,1,0.064,0.074,0.068,live_current_elo,"07:00 preview run values (22:05 finalization NEVER RAN — no artifact); Elo Arg 2156/Swi 1949 estimates verified exact vs live fetch 7/10 15:20 UTC; 90' 1-1 (Embolo red 72') -> ARG 3-1 AET; low-block divergence #4 model-side RIGHT (4/4)"
2026-07-14,SF,France,Spain,H,0.471,0.578,0.514,0,0.222,0.334,0.264,live_current_elo,"07:00 preview values (16:05Z finalization FAIL CLOSED - Elo egress blocked-by-allowlist; NO official artifact); 17:18Z direct-HTTP Elo capture (receipt evidence/elo_sf101_20260714T1718Z_receipt.json) confirmed pre-match ratings Spa 2190/Fra 2163 unchanged; ensemble fav FRA via market, MODEL was Spain-side 52.9 vs mkt FRA adv 57.8 (10.7pt gap) -> SPAIN WON 2-0 in 90 (Oyarzabal pen 22, Porro 58); biggest resolved divergence case so far, model-side RIGHT; 90' model Spa 37.2 vs mkt 30.1 also right"
